SA1_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
80104104603,47,2500,1144,680,3583,0.7,4035,3.3
80104104604,38,1991,1129,462,2312,0.7,2053,2.5
80104104605,32,1900,1093,389,2250,0.9,2069,2.5
80104104606,33,2167,1264,410,2729,0.8,2133,2.6
80104104607,36,1805,1129,475,2324,0.7,2015,2.4
80104104609,33,1950,964,440,2422,0.8,2097,2.5
80104104612,37,1772,964,450,2083,0.7,1839,2.2
80104104613,33,1993,1119,441,2856,0.8,2704,3.1
80104104614,37,2029,1107,500,3083,0.8,3200,3.5
80104104616,34,1729,980,400,2100,0.8,1875,2.3
80104104617,37,2011,1235,449,2779,0.8,2478,2.8
80104104618,33,1750,1079,423,2339,0.9,2217,2.6
80104104619,36,1761,1070,440,2542,0.8,1762,2.4
80104104620,33,1820,1125,454,2316,0.8,2011,2.5
80104104621,32,1937,1160,450,2326,0.8,2092,2.6
80104104622,34,1853,1125,421,2650,0.9,2281,2.8
80104104623,36,2102,1295,470,3078,0.8,2449,2.6
80104104624,0,0,0,0,0,0,0,0
80104104625,34,2000,1144,488,2426,0.8,2335,2.8
80104104626,34,1857,1042,480,2362,0.8,2187,2.6
80104104627,34,1702,1153,438,2434,0.8,2143,2.6
80104104628,32,1825,857,400,2223,0.9,2120,2.7
80104104629,77,1202,529,127,1033,0.7,833,1.5
80104104630,31,1700,1065,444,2250,0.8,2134,2.8
80104104631,30,2400,1245,580,3187,0.9,3192,3.5
80104104632,32,1909,1287,475,2448,0.9,2314,2.7
80104104633,31,2034,1165,500,2430,1,2393,3
80104104634,31,2167,1329,531,2978,0.9,2807,3
80104104635,37,1755,1152,400,2636,0.8,2140,2.4
80104104636,36,1943,1199,450,2718,0.7,2291,2.5
80104104637,34,2167,1241,495,3250,0.8,2924,2.9
80104104701,47,2547,1333,556,4049,0.7,4100,3.3
80104104702,54,2167,1285,524,2916,0.6,2263,2.3
80104104703,40,2814,1456,625,4474,0.8,4474,3.4
80104104704,43,2600,1380,640,3833,0.7,3750,3
